X;Y
0.216563442503159000000000;0.057468834769920800000000
0.235426008968609000000000;0.041893418472984200000000
0.256352765321375000000000;0.021286836945968400000000
0.280724595557086000000000;0.003656445895142910000000
0.308783540518569000000000;-0.014654200574634600000000
0.335689370114981000000000;-0.029535152955587100000000
0.360986547085201000000000;-0.041213163054031500000000
0.389501029307806000000000;-0.055172899712682300000000
0.418015511530411000000000;-0.066850909811126700000000
0.443312688500632000000000;-0.076006233046015600000000
0.467001212844659000000000;-0.086082772003206200000000
0.495515695067264000000000;-0.093636624096841100000000
0.529781481902956000000000;-0.102565195525412000000000
0.563591731477524000000000;-0.112414982676285000000000
0.600149476831091000000000;-0.121797057717491000000000
0.636023916292975000000000;-0.130725629146063000000000
0.664082861254457000000000;-0.133701819622253000000000
0.698804185351270000000000;-0.138279481239698000000000
0.731689088191330000000000;-0.142403639244507000000000
0.765954875027021000000000;-0.144231862192079000000000
0.796775587979766000000000;-0.142857142857142000000000
0.832180217968263000000000;-0.141482423522206000000000
0.866218236173393000000000;-0.136678010098444000000000
0.898419833121769000000000;-0.130725629146063000000000
0.930621430070146000000000;-0.122250561330126000000000
0.961200102180066000000000;-0.110345799425364000000000
0.997772119745897000000000;-0.097293069991983900000000
1.032948981103830000000000;-0.086422899712682500000000
1.065591843101060000000000;-0.074404761904761600000000
1.100782976671260000000000;-0.063874719334936200000000
1.135959838029200000000000;-0.056547619047618800000000
1.173215161486710000000000;-0.049220518760301400000000
1.210698253574790000000000;-0.041666666666666500000000
1.246344924406110000000000;-0.036862253242904600000000
1.281991595237430000000000;-0.032738095238095100000000
1.317638266068750000000000;-0.030909872290523600000000
1.347533632286990000000000;-0.029761904761904600000000
1.381116113231000000000000;-0.026558962479396400000000
1.421802238359190000000000;-0.021981300861952200000000
1.465036635060350000000000;-0.020606581527015500000000
1.512869221009530000000000;-0.020379829720698000000000
1.550352313097610000000000;-0.017176887438190300000000
1.586924330663440000000000;-0.017176887438190300000000
1.622571001494760000000000;-0.016255671715888500000000
1.658445440956650000000000;-0.016255671715888500000000
1.694319880418530000000000;-0.015107704187269800000000
1.733411625132800000000000;-0.014880952380952100000000
1.772503369847070000000000;-0.013506233046015600000000
1.816890881913300000000000;-0.013506233046015600000000
1.857819047884320000000000;-0.011904761904761600000000
1.901053444585480000000000;-0.011904761904761600000000
1.946821840647350000000000;-0.011904761904761600000000
1.996263079222720000000000;-0.010530042569825100000000
