"t" "enstrophy" "dissipation"
"109" 3.95408 0.96522730892791 0.00127324481062261
"110" 3.99036 0.969899588721247 0.00126646572941049
"111" 4.02663 0.974602829987641 0.00125924211828268
"112" 4.06291 0.979337677757779 0.00125868645588829
"113" 4.09919 0.984112678688286 0.00126968857129824
"114" 4.13546 0.988927026490802 0.00129636036623137
"115" 4.17174 0.993776367208178 0.0013369237210255
"116" 4.20801 0.998657314429298 0.00138371049463761
"117" 4.24429 1.00355970892082 0.00142627423405166
"118" 4.28057 1.00848209936368 0.00145783585805591
"119" 4.31684 1.01341497155524 0.00147261647774808
"120" 4.35312 1.01836558209074 0.00147306100766377
"121" 4.38939 1.02333634983526 0.00146205889225366
"122" 4.42567 1.02833291880732 0.00145372395633708
"123" 4.46195 1.03335770787201 0.00144905639222388
"124" 4.49822 1.0384155547595 0.00146205889225374
"125" 4.5345 1.04350081545125 0.00148739709744017
"126" 4.57077 1.04861187737055 0.00152362628555787
"127" 4.60705 1.05374632165232 0.00156007773863325
"128" 4.64333 1.05890011685474 0.0015976405164974
"129" 4.6796 1.06406842524766 0.00162664609348728
"130" 4.71588 1.06924963425436 0.00165020617901156
"131" 4.75215 1.07444132500974 0.00166820964059141
"132" 4.78843 1.07964430380218 0.00168176780301573
"133" 4.82471 1.08486179578511 0.00169121406372131
"134" 4.86098 1.0900946072469 0.00169910446972235
"135" 4.89726 1.09534193189918 0.00170121598682126
"136" 4.93353 1.10060538231868 0.00170454996118787
"137" 4.96981 1.10588818365883 0.00171432961933006
"138" 5.00609 1.11118952963129 0.00173177741851545
"139" 5.04236 1.11650780765932 0.00175711562370203
"140" 5.07864 1.1218438240313 0.0017957897263551
"141" 5.11491 1.12719193472868 0.00183790893585377
"142" 5.15119 1.13254488315623 0.00187802776073245
"143" 5.18747 1.13790105673723 0.00190914485482124
"144" 5.22374 1.14325723031822 0.00193103795316207
"145" 5.26002 1.14861421018757 0.00193792816685319
"146" 5.29629 1.15397844665218 0.00193703910702212
"147" 5.33257 1.1593483271353 0.00193181588051437
"148" 5.36885 1.16472868936712 0.00192948209845768
"149" 5.40512 1.17011872705927 0.00193503872240213
"150" 5.4414 1.17552005278847 0.00195470917116535
"151" 5.47767 1.18093347284308 0.00198404814559184
"152" 5.51395 1.18635979351147 0.00202483376534382
"153" 5.55023 1.19179014562166 0.00206962015433571
"154" 5.5865 1.19722211030857 0.00210929444929893
"155" 5.62278 1.20265004355368 0.00214230079552863
"156" 5.65905 1.20806910762682 NA
"157" 5.69533 1.21347768995127 NA
"158" 5.73161 1.21888224083391 NA
"159" 5.76788 1.22428517913983 NA
"160" 5.80416 1.229695374041 NA
"161" 5.84043 1.23511201924906 NA
